Katherine M.,CLARK,Representative  Katherine M. CLARK,1963- ,Representative,Democrat,MA,114
Yvette Diane,CLARKE,Representative  Yvette Diane CLARKE,1964- ,Representative,Democrat,NY,114
Curt,CLAWSON,Representative  Curt CLAWSON,1959- ,Representative,Republican,FL,114
William Lacy,CLAY Jr.,Representative  William Lacy CLAY Jr.,1956- ,Representative,Democrat,MO,114
Emanuel,CLEAVER II,Representative  Emanuel CLEAVER II,1944- ,Representative,Democrat,MO,114
James Enos,CLYBURN,Representative  James Enos CLYBURN,1940- ,Representative,Democrat,SC,114
Mike,COFFMAN,Representative  Mike COFFMAN,1955- ,Representative,Republican,CO,114
Stephen,COHEN,Representative  Stephen COHEN,1949- ,Representative,Democrat,TN,114
Tom,COLE,Representative  Tom COLE,1949- ,Representative,Republican,OK,114
Chris,COLLINS,Representative  Chris COLLINS,1950- ,Representative,Republican,NY,114
Doug,COLLINS,Representative  Doug COLLINS,1966- ,Representative,Republican,GA,114
Barbara J.,COMSTOCK,Representative  Barbara J. COMSTOCK,1959- ,Representative,Republican,VA,114
K. Michael,CONAWAY,Representative  K. Michael CONAWAY,1948- ,Representative,Republican,TX,114
Gerald E. (Gerry),CONNOLLY,Representative  Gerald E. (Gerry) CONNOLLY,1950- ,Representative,Democrat,VA,114
John,CONYERS Jr.,Representative  John CONYERS Jr.,1929- ,Representative,Democrat,MI,114
Paul,COOK,Representative  Paul COOK,1943- ,Representative,Republican,CA,114
James Hayes Shofner,COOPER,Representative  James Hayes Shofner COOPER,1954- ,Representative,Democrat,TN,114
Jim,COSTA,Representative  Jim COSTA,1952- ,Representative,Democrat,CA,114
Ryan,COSTELLO,Representative  Ryan COSTELLO,1976- ,Representative,Republican,PA,114
Joe,COURTNEY,Representative  Joe COURTNEY,1953- ,Representative,Democrat,CT,114
Kevin,CRAMER,Representative  Kevin CRAMER,1961- ,Representative,Republican,ND,114
Rick,CRAWFORD,Representative  Rick CRAWFORD,1966- ,Representative,Republican,AR,114
Ander,CRENSHAW,Representative  Ander CRENSHAW,1944- ,Representative,Republican,FL,114
Joseph,CROWLEY,Representative  Joseph CROWLEY,1962- ,Representative,Democrat,NY,114
Henry,CUELLAR,Representative  Henry CUELLAR,1955- ,Representative,Democrat,TX,114
John,CULBERSON,Representative  John CULBERSON,1956- ,Representative,Republican,TX,114
Elijah Eugene,CUMMINGS,Representative  Elijah Eugene CUMMINGS,1951- ,Representative,Democrat,MD,114
Carlos,CURBELO,Representative  Carlos CURBELO,1980- ,Representative,Republican,FL,114
Danny K.,DAVIS,Representative  Danny K. DAVIS,1941- ,Representative,Democrat,IL,114
Rodney,DAVIS,Representative  Rodney DAVIS,1970- ,Representative,Republican,IL,114
Susan A.,DAVIS,Representative  Susan A. DAVIS,1944- ,Representative,Democrat,CA,114
Peter Anthony,DeFAZIO,Representative  Peter Anthony DeFAZIO,1947- ,Representative,Democrat,OR,114
Diana,DeGETTE,Representative  Diana DeGETTE,1957- ,Representative,Democrat,CO,114
John,DELANEY,Representative  John DELANEY,1963- ,Representative,Democrat,MD,114
Rosa L.,DeLAURO,Representative  Rosa L. DeLAURO,1943- ,Representative,Democrat,CT,114
Suzan K.,DelBENE,Representative  Suzan K. DelBENE,1962- ,Representative,Democrat,WA,114
